OBJECTID,NAME,GlobalID,ShapeSTArea,ShapeSTLength
1,Bethel,{FC22586F-284D-4CC8-A315-7840D55F0516},1147426408.69238,214298.356318664
2,Eastern ES,{2FFA94B4-B5A7-4A5B-9531-9B0F262E5A09},189772956.812866,110329.86689094
3,G R Whitfield,{9C989B03-CF6F-4F55-ABB9-215DC9FE028A},965899547.744995,225810.234203817
4,Northwest ES,{7FFEFF06-4BEA-44A2-94A6-A837C6BF2D52},1535778247.41028,217539.324791053
5,Wintergreen Prim/Inter,{888CF13C-A8B9-4F86-889A-F9CBF5477B1E},451553802.408325,173299.094729989
6,W H Robinson ES,{AC7D28E9-BCFC-4C7A-9A13-D859FF64C17C},154700869.865723,73125.3242554942
7,Ayden ES,{2C632F3E-8F84-429B-8F61-F1C86C52668E},1364535389.30139,252863.423778872
8,Creekside ES,{087815B6-EFFF-483B-A2C5-51E9A27424A0},244937175.243774,118937.842056525
9,South Greenville ES,{886A05B7-408F-4A19-A7EB-53A5B08ABB6F},96229524.3912354,63810.5265562472
10,Elmhurst ES,{BB632A7F-D87A-4FF6-AA32-9F552EB785CE},82046467.8894043,60601.1583749975
11,Ridgewood ES,{6609B704-F402-491E-AF65-C1F4A0EFF2C1},132843116.36438,78104.4166327037
12,H B Sugg/Sam D Bundy,{126D466B-0F48-45C7-98F8-D47950939E54},2323306628.42676,304297.858376249
13,Chicod,{346611A0-2930-4215-A2BD-A12D13FC176E},2508952435.9231,307239.952682455
14,Grifton,{F895BA8B-DC15-4303-8641-E0CE2D9A74F9},1372886008.00745,222364.6243964
15,Stokes,{C7F1A767-9910-41A2-9564-483CD19433A3},1419449108.79846,291701.563196734
16,Pactolus,{9AC8A3CA-0F1F-42E0-9A58-36C7015701EA},1760027240.8772,342020.366048898
17,Belvoir ES,{DBD72793-6A85-483C-9A91-C3CDE99634A7},470089189.489258,172725.303074471
18,Wahl-Coates ES,{B482BF37-5431-43F3-A2E2-7A32ADA9049C},180070340.906616,104326.897754272
19,Lakeforest ES,{1CCD10C6-4AC7-4D11-8319-BC22C2EB4AF7},202421153.084717,88271.6406504433
20,Falkland ES,{8F976C4C-FC9D-46BB-B8B4-D124CF2BDA90},1664831609.90381,246014.355238323
